innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Trent Boult,4,0,17,1,4.25,16,1,1,1,0,Mumbai Indians
1,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Jasprit Bumrah,4,0,36,3,9.00,12,4,2,2,0,Mumbai Indians
1,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Adam Milne,4,0,48,1,12.00,7,6,2,0,1,Mumbai Indians
1,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Krunal Pandya,4,0,27,0,6.75,8,0,1,3,0,Mumbai Indians
1,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Rahul Chahar,4,0,33,1,8.25,11,1,3,0,0,Mumbai Indians
2,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Kyle Jamieson,2,0,22,0,11.00,3,3,0,0,1,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Mohammed Siraj,3,0,15,1,5.00,12,3,0,0,0,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Dan Christian,2,0,21,0,10.50,2,3,0,0,0,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Harshal Patel,3.1,0,17,4,5.36,10,1,0,3,0,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Yuzvendra Chahal,4,1,11,3,2.75,16,1,0,0,0,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-mumbai-indians-39th-match-1254108,Glenn Maxwell,4,0,23,2,5.75,8,0,1,1,0,Royal Challengers Bangalore
