innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2021-1249214,royal-challengers-bangalore-vs-punjab-kings-48th-match-1254090,Aiden Markram,1,0,5,0,5.00,4,1,0,0,0,Punjab Kings
1,ipl-2021-1249214,royal-challengers-bangalore-vs-punjab-kings-48th-match-1254090,Mohammed Shami,4,0,39,3,9.75,6,3,2,0,0,Punjab Kings
1,ipl-2021-1249214,royal-challengers-bangalore-vs-punjab-kings-48th-match-1254090,Arshdeep Singh,3,0,42,0,14.00,6,3,3,4,0,Punjab Kings
1,ipl-2021-1249214,royal-challengers-bangalore-vs-punjab-kings-48th-match-1254090,Ravi Bishnoi,4,0,35,0,8.75,11,3,2,1,0,Punjab Kings
1,ipl-2021-1249214,royal-challengers-bangalore-vs-punjab-kings-48th-match-1254090,Harpreet Brar,4,0,26,0,6.50,14,0,3,0,0,Punjab Kings
1,ipl-2021-1249214,royal-challengers-bangalore-vs-punjab-kings-48th-match-1254090,Moises Henriques,4,0,12,3,3.00,13,0,0,0,0,Punjab Kings
2,ipl-2021-1249214,royal-challengers-bangalore-vs-punjab-kings-48th-match-1254090,Mohammed Siraj,4,0,33,0,8.25,9,4,1,1,0,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-punjab-kings-48th-match-1254090,George Garton,4,0,27,1,6.75,10,1,1,2,1,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-punjab-kings-48th-match-1254090,Shahbaz Ahmed,3,0,29,1,9.66,4,1,2,0,0,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-punjab-kings-48th-match-1254090,Harshal Patel,4,0,27,0,6.75,10,0,2,0,0,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-punjab-kings-48th-match-1254090,Yuzvendra Chahal,4,0,29,3,7.25,9,2,1,2,0,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-punjab-kings-48th-match-1254090,Dan Christian,1,0,11,0,11.00,1,2,0,0,0,Royal Challengers Bangalore
