innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,ipl-2021-1249214,royal-challengers-bangalore-vs-rajasthan-royals-16th-match-1254073,Jos Buttler, b Mohammed Siraj,8,8,12,2,0,100.00,Rajasthan Royals
1,ipl-2021-1249214,royal-challengers-bangalore-vs-rajasthan-royals-16th-match-1254073,Manan Vohra,c Richardson b Jamieson,7,9,20,1,0,77.77,Rajasthan Royals
1,ipl-2021-1249214,royal-challengers-bangalore-vs-rajasthan-royals-16th-match-1254073,Sanju Samson (c)†,c Maxwell b Washington Sundar,21,18,31,2,1,116.66,Rajasthan Royals
1,ipl-2021-1249214,royal-challengers-bangalore-vs-rajasthan-royals-16th-match-1254073,David Miller,lbw b Mohammed Siraj,0,2,7,0,0,0.00,Rajasthan Royals
1,ipl-2021-1249214,royal-challengers-bangalore-vs-rajasthan-royals-16th-match-1254073,Shivam Dube,c Maxwell b Richardson,46,32,58,5,2,143.75,Rajasthan Royals
1,ipl-2021-1249214,royal-challengers-bangalore-vs-rajasthan-royals-16th-match-1254073,Riyan Parag,c Chahal b Patel,25,16,32,4,0,156.25,Rajasthan Royals
1,ipl-2021-1249214,royal-challengers-bangalore-vs-rajasthan-royals-16th-match-1254073,Rahul Tewatia,c Shahbaz Ahmed b Mohammed Siraj,40,23,30,4,2,173.91,Rajasthan Royals
1,ipl-2021-1249214,royal-challengers-bangalore-vs-rajasthan-royals-16th-match-1254073,Chris Morris,c Chahal b Patel,10,7,21,0,1,142.85,Rajasthan Royals
1,ipl-2021-1249214,royal-challengers-bangalore-vs-rajasthan-royals-16th-match-1254073,Shreyas Gopal,not out ,7,4,7,0,1,175.00,Rajasthan Royals
1,ipl-2021-1249214,royal-challengers-bangalore-vs-rajasthan-royals-16th-match-1254073,Chetan Sakariya,c de Villiers b Patel,0,1,3,0,0,0.00,Rajasthan Royals
1,ipl-2021-1249214,royal-challengers-bangalore-vs-rajasthan-royals-16th-match-1254073,Mustafizur Rahman,not out ,0,0,3,0,0,-,Rajasthan Royals
2,ipl-2021-1249214,royal-challengers-bangalore-vs-rajasthan-royals-16th-match-1254073,Virat Kohli (c),not out ,72,47,74,6,3,153.19,Royal Challengers Bangalore
2,ipl-2021-1249214,royal-challengers-bangalore-vs-rajasthan-royals-16th-match-1254073,Devdutt Padikkal,not out ,101,52,74,11,6,194.23,Royal Challengers Bangalore
