innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2021-1249214,sunrisers-hyderabad-vs-mumbai-indians-55th-match-1254088,Mohammad Nabi,3,0,33,0,11.00,3,4,1,0,0,Sunrisers Hyderabad
1,ipl-2021-1249214,sunrisers-hyderabad-vs-mumbai-indians-55th-match-1254088,Siddarth Kaul,4,0,56,0,14.00,5,10,1,0,0,Sunrisers Hyderabad
1,ipl-2021-1249214,sunrisers-hyderabad-vs-mumbai-indians-55th-match-1254088,Jason Holder,4,0,52,4,13.00,9,6,2,3,0,Sunrisers Hyderabad
1,ipl-2021-1249214,sunrisers-hyderabad-vs-mumbai-indians-55th-match-1254088,Umran Malik,4,0,48,1,12.00,7,8,1,1,0,Sunrisers Hyderabad
1,ipl-2021-1249214,sunrisers-hyderabad-vs-mumbai-indians-55th-match-1254088,Rashid Khan,4,0,40,2,10.00,5,2,3,0,0,Sunrisers Hyderabad
1,ipl-2021-1249214,sunrisers-hyderabad-vs-mumbai-indians-55th-match-1254088,Abhishek Sharma,1,0,4,2,4.00,4,0,0,1,0,Sunrisers Hyderabad
2,ipl-2021-1249214,sunrisers-hyderabad-vs-mumbai-indians-55th-match-1254088,Trent Boult,4,0,30,1,7.50,8,4,0,0,0,Mumbai Indians
2,ipl-2021-1249214,sunrisers-hyderabad-vs-mumbai-indians-55th-match-1254088,Jasprit Bumrah,4,0,39,2,9.75,8,4,0,3,0,Mumbai Indians
2,ipl-2021-1249214,sunrisers-hyderabad-vs-mumbai-indians-55th-match-1254088,Piyush Chawla,4,0,38,1,9.50,3,3,1,0,0,Mumbai Indians
2,ipl-2021-1249214,sunrisers-hyderabad-vs-mumbai-indians-55th-match-1254088,Nathan Coulter-Nile,4,0,40,2,10.00,7,6,1,0,0,Mumbai Indians
2,ipl-2021-1249214,sunrisers-hyderabad-vs-mumbai-indians-55th-match-1254088,James Neesham,3,0,28,2,9.33,5,3,1,0,0,Mumbai Indians
2,ipl-2021-1249214,sunrisers-hyderabad-vs-mumbai-indians-55th-match-1254088,Krunal Pandya,1,0,16,0,16.00,1,1,1,0,1,Mumbai Indians
