innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2021-1249214,sunrisers-hyderabad-vs-royal-challengers-bangalore-6th-match-1254063,Bhuvneshwar Kumar,4,0,30,1,7.50,10,5,0,1,0,Sunrisers Hyderabad
1,ipl-2021-1249214,sunrisers-hyderabad-vs-royal-challengers-bangalore-6th-match-1254063,Jason Holder,4,0,30,3,7.50,13,2,1,4,0,Sunrisers Hyderabad
1,ipl-2021-1249214,sunrisers-hyderabad-vs-royal-challengers-bangalore-6th-match-1254063,Shahbaz Nadeem,4,0,36,1,9.00,9,2,3,0,0,Sunrisers Hyderabad
1,ipl-2021-1249214,sunrisers-hyderabad-vs-royal-challengers-bangalore-6th-match-1254063,T Natarajan,4,0,32,1,8.00,7,4,0,1,0,Sunrisers Hyderabad
1,ipl-2021-1249214,sunrisers-hyderabad-vs-royal-challengers-bangalore-6th-match-1254063,Rashid Khan,4,0,18,2,4.50,10,1,0,1,0,Sunrisers Hyderabad
2,ipl-2021-1249214,sunrisers-hyderabad-vs-royal-challengers-bangalore-6th-match-1254063,Mohammed Siraj,4,1,25,2,6.25,14,2,1,1,0,Royal Challengers Bangalore
2,ipl-2021-1249214,sunrisers-hyderabad-vs-royal-challengers-bangalore-6th-match-1254063,Kyle Jamieson,3,0,30,1,10.00,9,3,2,1,0,Royal Challengers Bangalore
2,ipl-2021-1249214,sunrisers-hyderabad-vs-royal-challengers-bangalore-6th-match-1254063,Washington Sundar,2,0,14,0,7.00,7,1,1,1,0,Royal Challengers Bangalore
2,ipl-2021-1249214,sunrisers-hyderabad-vs-royal-challengers-bangalore-6th-match-1254063,Yuzvendra Chahal,4,0,29,0,7.25,9,3,0,1,0,Royal Challengers Bangalore
2,ipl-2021-1249214,sunrisers-hyderabad-vs-royal-challengers-bangalore-6th-match-1254063,Harshal Patel,4,0,25,2,6.25,10,2,0,0,2,Royal Challengers Bangalore
2,ipl-2021-1249214,sunrisers-hyderabad-vs-royal-challengers-bangalore-6th-match-1254063,Dan Christian,1,0,7,0,7.00,1,0,0,0,0,Royal Challengers Bangalore
2,ipl-2021-1249214,sunrisers-hyderabad-vs-royal-challengers-bangalore-6th-match-1254063,Shahbaz Ahmed,2,0,7,3,3.50,6,0,0,0,0,Royal Challengers Bangalore
