innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kings-xi-punjab-45th-match-734019,Murali Vijay,c Hendricks b Sandeep Sharma,5,8,12,1,0,62.50,Delhi Daredevils
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kings-xi-punjab-45th-match-734019,Kevin Pietersen (c), b Patel,49,32,48,6,1,153.12,Delhi Daredevils
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kings-xi-punjab-45th-match-734019,Dinesh Karthik,c Dhawan b Hendricks,69,44,74,7,3,156.81,Delhi Daredevils
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kings-xi-punjab-45th-match-734019,Jean-Paul Duminy,c Maxwell b Hendricks,17,21,28,1,0,80.95,Delhi Daredevils
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kings-xi-punjab-45th-match-734019,Kedar Jadhav,c Maxwell b Sandeep Sharma,0,1,2,0,0,0.00,Delhi Daredevils
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kings-xi-punjab-45th-match-734019,Mayank Agarwal, b Sandeep Sharma,6,2,2,0,1,300.00,Delhi Daredevils
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kings-xi-punjab-45th-match-734019,Manoj Tiwary,not out ,10,8,11,1,0,125.00,Delhi Daredevils
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kings-xi-punjab-45th-match-734019,Wayne Parnell,c Maxwell b Hendricks,2,2,1,0,0,100.00,Delhi Daredevils
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kings-xi-punjab-45th-match-734019,Mohammed Shami,not out ,1,2,2,0,0,50.00,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kings-xi-punjab-45th-match-734019,Virender Sehwag,c Tiwary b Duminy,23,22,43,2,1,104.54,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kings-xi-punjab-45th-match-734019,Manan Vohra,c Vijay b Imran Tahir,42,19,35,4,3,221.05,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kings-xi-punjab-45th-match-734019,Glenn Maxwell, b Imran Tahir,14,11,13,0,1,127.27,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kings-xi-punjab-45th-match-734019,David Miller, b Duminy,2,6,8,0,0,33.33,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kings-xi-punjab-45th-match-734019,Wriddhiman Saha,c Parnell b Mohammed Shami,13,13,29,1,0,100.00,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kings-xi-punjab-45th-match-734019,Axar Patel,not out ,42,35,52,5,1,120.00,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kings-xi-punjab-45th-match-734019,George Bailey (c),c Jadhav b Imran Tahir,6,7,17,0,0,85.71,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kings-xi-punjab-45th-match-734019,Rishi Dhawan,not out ,8,5,7,1,0,160.00,Kings XI Punjab
