innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kolkata-knight-riders-28th-match-733985,Suryakumar Yadav,1,0,8,0,8.00,2,1,0,0,0,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kolkata-knight-riders-28th-match-733985,Jacques Kallis,4,0,38,1,9.50,9,4,2,0,0,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kolkata-knight-riders-28th-match-733985,Umesh Yadav,4,0,26,1,6.50,10,3,0,2,0,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kolkata-knight-riders-28th-match-733985,Shakib Al Hasan,4,0,13,1,3.25,12,0,0,0,0,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kolkata-knight-riders-28th-match-733985,Sunil Narine,4,0,38,1,9.50,6,3,2,0,0,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kolkata-knight-riders-28th-match-733985,Vinay Kumar,3,0,31,0,10.33,4,2,2,0,0,Kolkata Knight Riders
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kolkata-knight-riders-28th-match-733985,Mohammed Shami,4,0,23,0,5.75,8,2,0,0,0,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kolkata-knight-riders-28th-match-733985,Wayne Parnell,4,0,21,2,5.25,13,3,0,0,0,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kolkata-knight-riders-28th-match-733985,Laxmi Shukla,2,0,19,0,9.50,3,1,1,1,0,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kolkata-knight-riders-28th-match-733985,Siddarth Kaul,3,0,29,0,9.66,3,3,0,0,0,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kolkata-knight-riders-28th-match-733985,Jean-Paul Duminy,2,0,24,0,12.00,1,1,2,0,0,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-kolkata-knight-riders-28th-match-733985,Shahbaz Nadeem,3.2,0,34,0,10.20,2,4,0,0,0,Delhi Daredevils
