innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Rohit Sharma (c),run out (Mohammed Shami),4,5,7,0,0,80.00,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Aditya Tare,c de Kock b Parnell,8,10,15,1,0,80.00,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Corey Anderson,c de Kock b Unadkat,13,14,23,2,0,92.85,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Ambati Rayudu,c Shukla b Nadeem,14,21,26,1,0,66.66,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Michael Hussey, b Unadkat,10,18,20,0,0,55.55,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Kieron Pollard,not out ,33,30,64,2,2,110.00,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Chidhambaram Gautam,run out (Nadeem/Mohammed Shami),22,18,35,3,0,122.22,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Harbhajan Singh,retired hurt ,10,5,7,1,1,200.00,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Zaheer Khan,not out ,0,0,1,0,0,-,Mumbai Indians
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Quinton de Kock,c Hussey b Anderson,16,24,27,2,0,66.66,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Murali Vijay, b Sharma,40,34,53,4,1,117.64,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Jean-Paul Duminy,c sub (AV Wankhade) b Malinga,19,24,37,0,0,79.16,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Kevin Pietersen (c),not out ,26,18,32,2,1,144.44,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Dinesh Karthik,c Rayudu b Malinga,2,3,2,0,0,66.66,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Kedar Jadhav,not out ,14,10,15,2,0,140.00,Delhi Daredevils
