innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Shahbaz Nadeem,4,0,19,1,4.75,9,0,0,1,0,Delhi Daredevils
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Mohammed Shami,4,0,36,0,9.00,8,3,2,0,0,Delhi Daredevils
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Jean-Paul Duminy,3,0,13,0,4.33,9,1,0,0,0,Delhi Daredevils
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Wayne Parnell,4,0,17,1,4.25,17,2,0,2,1,Delhi Daredevils
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Jaydev Unadkat,4,0,29,2,7.25,9,3,1,0,0,Delhi Daredevils
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Laxmi Shukla,1,0,5,0,5.00,4,1,0,0,0,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Lasith Malinga,4,0,17,2,4.25,14,1,0,1,0,Mumbai Indians
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Pragyan Ojha,4,0,26,0,6.50,8,1,1,0,0,Mumbai Indians
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Zaheer Khan,2.5,0,17,0,6.00,7,2,0,0,0,Mumbai Indians
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Harbhajan Singh,4,1,23,0,5.75,11,2,0,0,0,Mumbai Indians
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Corey Anderson,2,0,16,1,8.00,3,2,0,0,0,Mumbai Indians
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-mumbai-indians-16th-match-729309,Rohit Sharma,2,0,20,1,10.00,4,2,1,0,0,Mumbai Indians
