innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-royal-challengers-bangalore-2nd-match-729281,Mitchell Starc,4,0,33,1,8.25,10,3,1,1,1,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-royal-challengers-bangalore-2nd-match-729281,Albie Morkel,3,0,18,1,6.00,7,2,0,0,0,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-royal-challengers-bangalore-2nd-match-729281,Varun Aaron,3,1,9,1,3.00,12,0,0,2,0,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-royal-challengers-bangalore-2nd-match-729281,Yuzvendra Chahal,4,0,18,1,4.50,11,0,0,1,0,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-royal-challengers-bangalore-2nd-match-729281,Ashok Dinda,4,0,51,0,12.75,2,4,2,1,0,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-royal-challengers-bangalore-2nd-match-729281,Yuvraj Singh,2,0,16,0,8.00,1,0,1,0,0,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-royal-challengers-bangalore-2nd-match-729281,Jean-Paul Duminy,2,0,10,0,5.00,6,1,0,0,0,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-royal-challengers-bangalore-2nd-match-729281,Mohammed Shami,4,0,30,1,7.50,14,4,1,2,0,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-royal-challengers-bangalore-2nd-match-729281,Wayne Parnell,3,0,19,0,6.33,9,3,0,0,0,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-royal-challengers-bangalore-2nd-match-729281,Shahbaz Nadeem,2.4,0,32,0,12.00,4,2,2,1,1,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-royal-challengers-bangalore-2nd-match-729281,Rahul Sharma,3,0,33,1,11.00,5,0,4,0,0,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,delhi-daredevils-vs-royal-challengers-bangalore-2nd-match-729281,James Neesham,2,0,22,0,11.00,3,1,2,0,0,Delhi Daredevils
