innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-kolkata-knight-riders-final-734049,Virender Sehwag,c Gambhir b UT Yadav,7,10,14,1,0,70.00,Kings XI Punjab
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-kolkata-knight-riders-final-734049,Manan Vohra,c & b Chawla,67,52,75,6,2,128.84,Kings XI Punjab
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-kolkata-knight-riders-final-734049,George Bailey (c), b Narine,1,2,17,0,0,50.00,Kings XI Punjab
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-kolkata-knight-riders-final-734049,Wriddhiman Saha,not out ,115,55,66,10,8,209.09,Kings XI Punjab
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-kolkata-knight-riders-final-734049,Glenn Maxwell,c Morkel b Chawla,0,1,4,0,0,0.00,Kings XI Punjab
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-kolkata-knight-riders-final-734049,David Miller,not out ,1,1,8,0,0,100.00,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-kolkata-knight-riders-final-734049,Robin Uthappa,c Patel b Johnson,5,3,3,1,0,166.66,Kolkata Knight Riders
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-kolkata-knight-riders-final-734049,Gautam Gambhir (c),c Miller b Karanveer Singh,23,17,34,3,0,135.29,Kolkata Knight Riders
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-kolkata-knight-riders-final-734049,Manish Pandey,c Bailey b Karanveer Singh,94,50,81,7,6,188.00,Kolkata Knight Riders
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-kolkata-knight-riders-final-734049,Yusuf Pathan,c Maxwell b Karanveer Singh,36,22,30,0,4,163.63,Kolkata Knight Riders
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-kolkata-knight-riders-final-734049,Shakib Al Hasan,run out (Bailey),12,7,10,2,0,171.42,Kolkata Knight Riders
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-kolkata-knight-riders-final-734049,Ryan ten Doeschate,c Miller b Karanveer Singh,4,3,6,1,0,133.33,Kolkata Knight Riders
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-kolkata-knight-riders-final-734049,Suryakumar Yadav,c Vohra b Johnson,5,6,9,0,0,83.33,Kolkata Knight Riders
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-kolkata-knight-riders-final-734049,Piyush Chawla,not out ,13,5,16,1,1,260.00,Kolkata Knight Riders
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-kolkata-knight-riders-final-734049,Sunil Narine,not out ,2,4,8,0,0,50.00,Kolkata Knight Riders
