innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Virender Sehwag,c Malik b Faulkner,18,8,11,3,1,225.00,Kings XI Punjab
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Manan Vohra,run out (Binny),25,20,32,3,1,125.00,Kings XI Punjab
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Shaun Marsh,c Rahane b Malik,40,35,47,5,1,114.28,Kings XI Punjab
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Wriddhiman Saha,c Rahane b Tewatia,27,20,32,4,0,135.00,Kings XI Punjab
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,David Miller,not out ,29,20,34,0,2,145.00,Kings XI Punjab
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,George Bailey (c),not out ,26,18,28,1,1,144.44,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Ajinkya Rahane, b Dhawan,23,26,40,2,0,88.46,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Karun Nair,c Bailey b Balaji,11,6,12,2,0,183.33,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Sanju Samson,st Saha b Karanveer Singh,30,29,50,2,1,103.44,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Shane Watson (c), b Dhawan,0,1,1,0,0,0.00,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Stuart Binny,c Marsh b Karanveer Singh,7,10,11,0,0,70.00,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Rahul Tewatia,c Karanveer Singh b Patel,16,13,21,0,1,123.07,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Brad Hodge,st Saha b Patel,31,18,22,2,2,172.22,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,James Faulkner,not out ,35,13,26,1,4,269.23,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Kevon Cooper,c Marsh b Patel,2,2,1,0,0,100.00,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Vikramjeet Malik,not out ,1,2,14,0,0,50.00,Rajasthan Royals
