innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Vikramjeet Malik,3,0,29,1,9.66,7,4,1,1,0,Rajasthan Royals
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Shane Watson,2,0,16,0,8.00,8,2,1,1,0,Rajasthan Royals
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,James Faulkner,3,0,39,1,13.00,5,4,2,0,1,Rajasthan Royals
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Kevon Cooper,4,0,25,0,6.25,9,2,0,0,0,Rajasthan Royals
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Rahul Tewatia,4,0,24,1,6.00,10,1,1,1,0,Rajasthan Royals
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Pravin Tambe,4,0,36,0,9.00,5,3,1,0,0,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Lakshmipathy Balaji,4,0,37,1,9.25,10,3,2,1,0,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Beuran Hendricks,4,0,57,0,14.25,6,3,5,0,0,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Rishi Dhawan,4,0,25,2,6.25,11,3,0,1,0,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Axar Patel,4,0,24,3,6.00,8,0,1,0,0,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-rajasthan-royals-52nd-match-734033,Karanveer Singh,4,0,16,2,4.00,12,0,0,1,0,Kings XI Punjab
