innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-sunrisers-hyderabad-9th-match-729295,Dale Steyn,4,0,26,0,6.50,12,4,0,1,0,Sunrisers Hyderabad
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-sunrisers-hyderabad-9th-match-729295,Bhuvneshwar Kumar,4,0,19,3,4.75,15,1,1,0,0,Sunrisers Hyderabad
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-sunrisers-hyderabad-9th-match-729295,Irfan Pathan,2,0,28,0,14.00,3,3,2,0,0,Sunrisers Hyderabad
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-sunrisers-hyderabad-9th-match-729295,Karn Sharma,4,0,37,0,9.25,11,4,2,1,0,Sunrisers Hyderabad
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-sunrisers-hyderabad-9th-match-729295,Amit Mishra,4,0,56,2,14.00,6,0,7,1,0,Sunrisers Hyderabad
1,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-sunrisers-hyderabad-9th-match-729295,Daren Sammy,2,0,22,1,11.00,4,2,1,0,1,Sunrisers Hyderabad
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-sunrisers-hyderabad-9th-match-729295,Sandeep Sharma,4,0,26,1,6.50,10,1,1,1,0,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-sunrisers-hyderabad-9th-match-729295,Mitchell Johnson,4,0,26,2,6.50,12,2,1,0,2,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-sunrisers-hyderabad-9th-match-729295,Lakshmipathy Balaji,4,0,13,4,3.25,13,0,0,1,0,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-sunrisers-hyderabad-9th-match-729295,Rishi Dhawan,2.2,0,23,1,9.85,2,3,0,1,0,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-sunrisers-hyderabad-9th-match-729295,Axar Patel,4,0,20,2,5.00,11,0,1,0,0,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,kings-xi-punjab-vs-sunrisers-hyderabad-9th-match-729295,Glenn Maxwell,1,0,10,0,10.00,1,0,1,0,0,Kings XI Punjab
