innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,pepsi-indian-premier-league-2014-695871,kolkata-knight-riders-vs-chennai-super-kings-47th-match-734023,Shakib Al Hasan,4,0,30,0,7.50,9,3,1,1,0,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,kolkata-knight-riders-vs-chennai-super-kings-47th-match-734023,Pat Cummins,4,1,29,1,7.25,12,2,2,0,0,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,kolkata-knight-riders-vs-chennai-super-kings-47th-match-734023,Umesh Yadav,4,0,29,0,7.25,7,1,1,1,1,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,kolkata-knight-riders-vs-chennai-super-kings-47th-match-734023,Sunil Narine,4,0,24,1,6.00,11,0,2,0,0,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,kolkata-knight-riders-vs-chennai-super-kings-47th-match-734023,Piyush Chawla,4,0,42,1,10.50,5,2,3,0,0,Kolkata Knight Riders
2,pepsi-indian-premier-league-2014-695871,kolkata-knight-riders-vs-chennai-super-kings-47th-match-734023,Ben Hilfenhaus,3,0,38,0,12.66,4,5,1,1,0,Chennai Super Kings
2,pepsi-indian-premier-league-2014-695871,kolkata-knight-riders-vs-chennai-super-kings-47th-match-734023,Ishwar Pandey,4,0,31,1,7.75,9,5,0,0,0,Chennai Super Kings
2,pepsi-indian-premier-league-2014-695871,kolkata-knight-riders-vs-chennai-super-kings-47th-match-734023,Mohit Sharma,3,0,28,0,9.33,6,5,0,0,0,Chennai Super Kings
2,pepsi-indian-premier-league-2014-695871,kolkata-knight-riders-vs-chennai-super-kings-47th-match-734023,Ravichandran Ashwin,4,0,24,0,6.00,11,2,1,0,0,Chennai Super Kings
2,pepsi-indian-premier-league-2014-695871,kolkata-knight-riders-vs-chennai-super-kings-47th-match-734023,Ravindra Jadeja,3,0,23,1,7.66,5,1,1,0,0,Chennai Super Kings
2,pepsi-indian-premier-league-2014-695871,kolkata-knight-riders-vs-chennai-super-kings-47th-match-734023,Suresh Raina,1,0,9,0,9.00,0,1,0,0,0,Chennai Super Kings
