innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,pepsi-indian-premier-league-2014-695871,kolkata-knight-riders-vs-kings-xi-punjab-15th-match-729307,Umesh Yadav,4,0,28,0,7.00,10,4,0,0,0,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,kolkata-knight-riders-vs-kings-xi-punjab-15th-match-729307,Morne Morkel,4,0,26,1,6.50,13,2,1,0,1,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,kolkata-knight-riders-vs-kings-xi-punjab-15th-match-729307,Jacques Kallis,4,0,32,1,8.00,7,4,0,1,0,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,kolkata-knight-riders-vs-kings-xi-punjab-15th-match-729307,Sunil Narine,4,0,24,3,6.00,11,1,1,0,0,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,kolkata-knight-riders-vs-kings-xi-punjab-15th-match-729307,Piyush Chawla,4,0,19,3,4.75,10,1,0,0,0,Kolkata Knight Riders
2,pepsi-indian-premier-league-2014-695871,kolkata-knight-riders-vs-kings-xi-punjab-15th-match-729307,Sandeep Sharma,4,1,21,3,5.25,16,3,0,1,0,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,kolkata-knight-riders-vs-kings-xi-punjab-15th-match-729307,Mitchell Johnson,3.2,0,22,2,6.60,11,2,1,1,0,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,kolkata-knight-riders-vs-kings-xi-punjab-15th-match-729307,Lakshmipathy Balaji,3,0,21,1,7.00,8,3,0,1,0,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,kolkata-knight-riders-vs-kings-xi-punjab-15th-match-729307,Rishi Dhawan,4,0,24,1,6.00,9,1,0,2,0,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,kolkata-knight-riders-vs-kings-xi-punjab-15th-match-729307,Axar Patel,4,0,16,2,4.00,13,1,0,0,0,Kings XI Punjab
