innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-chennai-super-kings-eliminator-734045,Lendl Simmons,c Raina b Jadeja,67,44,-,5,4,152.27,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-chennai-super-kings-eliminator-734045,Michael Hussey, b Jadeja,39,33,-,4,1,118.18,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-chennai-super-kings-eliminator-734045,Corey Anderson,c Pandey b Ashwin,20,10,-,1,2,200.00,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-chennai-super-kings-eliminator-734045,Rohit Sharma (c),c McCullum b Sharma,20,16,-,3,0,125.00,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-chennai-super-kings-eliminator-734045,Kieron Pollard,c Sharma b Nehra,14,8,-,1,1,175.00,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-chennai-super-kings-eliminator-734045,Ambati Rayudu,c Hussey b Sharma,2,3,-,0,0,66.66,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-chennai-super-kings-eliminator-734045,Aditya Tare,c du Plessis b Nehra,0,1,-,0,0,0.00,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-chennai-super-kings-eliminator-734045,Harbhajan Singh,not out ,7,2,-,0,1,350.00,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-chennai-super-kings-eliminator-734045,Praveen Kumar, b Sharma,1,2,-,0,0,50.00,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-chennai-super-kings-eliminator-734045,Pragyan Ojha,not out ,1,1,-,0,0,100.00,Mumbai Indians
2,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-chennai-super-kings-eliminator-734045,Dwayne Smith,c Pollard b Harbhajan Singh,24,20,-,4,0,120.00,Chennai Super Kings
2,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-chennai-super-kings-eliminator-734045,Faf du Plessis,c sub (BR Dunk) b Harbhajan Singh,35,20,-,5,1,175.00,Chennai Super Kings
2,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-chennai-super-kings-eliminator-734045,Suresh Raina,not out ,54,33,-,4,2,163.63,Chennai Super Kings
2,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-chennai-super-kings-eliminator-734045,Brendon McCullum,st Tare b Ojha,14,11,-,0,2,127.27,Chennai Super Kings
2,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-chennai-super-kings-eliminator-734045,David Hussey,not out ,40,29,-,2,3,137.93,Chennai Super Kings
