innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-kolkata-knight-riders-1st-match-729279,Gautam Gambhir (c), b Malinga,0,8,10,0,0,0.00,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-kolkata-knight-riders-1st-match-729279,Jacques Kallis,c Anderson b Malinga,72,46,83,5,3,156.52,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-kolkata-knight-riders-1st-match-729279,Manish Pandey, b Malinga,64,53,54,6,2,120.75,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-kolkata-knight-riders-1st-match-729279,Robin Uthappa,c Sharma b Khan,1,2,4,0,0,50.00,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-kolkata-knight-riders-1st-match-729279,Yusuf Pathan,not out ,4,4,13,0,0,100.00,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-kolkata-knight-riders-1st-match-729279,Shakib Al Hasan,c Sharma b Malinga,1,2,4,0,0,50.00,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-kolkata-knight-riders-1st-match-729279,Suryakumar Yadav,not out ,13,5,5,3,0,260.00,Kolkata Knight Riders
2,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-kolkata-knight-riders-1st-match-729279,Michael Hussey, b Narine,3,13,14,0,0,23.07,Mumbai Indians
2,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-kolkata-knight-riders-1st-match-729279,Aditya Tare,c & b Shakib Al Hasan,24,22,36,2,1,109.09,Mumbai Indians
2,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-kolkata-knight-riders-1st-match-729279,Ambati Rayudu,st Uthappa b Narine,48,40,59,4,0,120.00,Mumbai Indians
2,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-kolkata-knight-riders-1st-match-729279,Rohit Sharma (c),c Kallis b Morkel,27,20,33,0,1,135.00,Mumbai Indians
2,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-kolkata-knight-riders-1st-match-729279,Kieron Pollard,not out ,6,8,24,0,0,75.00,Mumbai Indians
2,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-kolkata-knight-riders-1st-match-729279,Corey Anderson, b Narine,2,8,17,0,0,25.00,Mumbai Indians
2,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-kolkata-knight-riders-1st-match-729279,Harbhajan Singh, b Narine,0,2,1,0,0,0.00,Mumbai Indians
2,pepsi-indian-premier-league-2014-695871,mumbai-indians-vs-kolkata-knight-riders-1st-match-729279,Chidhambaram Gautam,st Uthappa b Chawla,7,7,5,1,0,100.00,Mumbai Indians
