innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Ajinkya Rahane, b Nadeem,64,50,78,8,1,128.00,Rajasthan Royals
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Karun Nair,lbw b Nadeem,19,14,25,1,1,135.71,Rajasthan Royals
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Kevon Cooper,c Shukla b Duminy,32,16,20,2,3,200.00,Rajasthan Royals
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Sanju Samson,c Jadhav b Imran Tahir,40,25,37,2,3,160.00,Rajasthan Royals
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Stuart Binny,st Karthik b Imran Tahir,0,2,2,0,0,0.00,Rajasthan Royals
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Ben Cutting,run out (Shukla),8,6,18,0,1,133.33,Rajasthan Royals
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,James Faulkner,not out ,23,8,15,0,3,287.50,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Kevin Pietersen (c), b Bhatia,13,18,37,1,0,72.22,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Mayank Agarwal,c Smith b Faulkner,17,10,11,3,0,170.00,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Dinesh Karthik,c Cutting b Kulkarni,3,8,11,0,0,37.50,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Jean-Paul Duminy,c Nair b Tambe,8,8,9,0,1,100.00,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Manoj Tiwary,not out ,61,44,58,5,2,138.63,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Ross Taylor,c & b Bhatia,4,5,9,0,0,80.00,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Kedar Jadhav,run out (Cutting),3,3,5,0,0,100.00,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Shahbaz Nadeem, b Cutting,1,4,3,0,0,25.00,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Imran Tahir, b Binny,4,6,15,1,0,66.66,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Rahul Shukla,c Smith b Cooper,14,12,8,2,0,116.66,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Siddarth Kaul,not out ,2,2,-,0,0,100.00,Delhi Daredevils
