innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Jean-Paul Duminy,3,0,25,1,8.33,3,1,1,2,0,Delhi Daredevils
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Rahul Shukla,4,0,44,0,11.00,11,6,2,0,1,Delhi Daredevils
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Siddarth Kaul,3,0,34,0,11.33,5,1,3,0,0,Delhi Daredevils
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Shahbaz Nadeem,4,0,35,2,8.75,9,1,3,2,0,Delhi Daredevils
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Imran Tahir,4,0,25,2,6.25,8,3,0,0,0,Delhi Daredevils
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Manoj Tiwary,2,0,28,0,14.00,3,1,3,0,0,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Dhawal Kulkarni,4,1,24,1,6.00,12,1,1,2,0,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Ben Cutting,4,0,31,1,7.75,9,5,0,0,0,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,James Faulkner,1,0,6,1,6.00,3,1,0,0,0,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Kevon Cooper,3,0,19,1,6.33,9,3,0,1,0,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Pravin Tambe,3,0,24,1,8.00,2,0,1,2,0,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Rajat Bhatia,3,0,18,2,6.00,7,0,1,1,0,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-delhi-daredevils-41st-match-734011,Stuart Binny,2,0,14,1,7.00,4,2,0,0,0,Rajasthan Royals
