innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-kings-xi-punjab-7th-match-729291,Axar Patel,4,0,22,1,5.50,14,4,0,0,0,Kings XI Punjab
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-kings-xi-punjab-7th-match-729291,Mitchell Johnson,4,0,29,1,7.25,14,3,1,0,1,Kings XI Punjab
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-kings-xi-punjab-7th-match-729291,Parvinder Awana,4,0,40,1,10.00,9,2,3,1,0,Kings XI Punjab
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-kings-xi-punjab-7th-match-729291,Lakshmipathy Balaji,4,0,46,0,11.50,7,6,2,0,0,Kings XI Punjab
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-kings-xi-punjab-7th-match-729291,Murali Kartik,4,0,51,1,12.75,5,2,4,1,0,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-kings-xi-punjab-7th-match-729291,Kane Richardson,3,0,25,1,8.33,5,2,1,1,0,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-kings-xi-punjab-7th-match-729291,Dhawal Kulkarni,4,0,50,1,12.50,11,5,4,1,0,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-kings-xi-punjab-7th-match-729291,James Faulkner,3.4,0,45,1,12.27,3,1,3,1,0,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-kings-xi-punjab-7th-match-729291,Pravin Tambe,4,0,26,0,6.50,8,0,2,0,0,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-kings-xi-punjab-7th-match-729291,Rajat Bhatia,3,0,38,0,12.66,3,3,2,1,0,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-kings-xi-punjab-7th-match-729291,Stuart Binny,1,0,4,0,4.00,4,0,0,0,0,Rajasthan Royals
