innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-mumbai-indians-44th-match-734017,Ankit Sharma,4,0,23,2,5.75,10,0,1,0,0,Rajasthan Royals
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-mumbai-indians-44th-match-734017,Dhawal Kulkarni,4,0,27,0,6.75,10,2,1,1,0,Rajasthan Royals
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-mumbai-indians-44th-match-734017,James Faulkner,4,0,47,0,11.75,9,5,3,1,0,Rajasthan Royals
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-mumbai-indians-44th-match-734017,Kevon Cooper,3,0,27,0,9.00,7,1,2,0,1,Rajasthan Royals
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-mumbai-indians-44th-match-734017,Stuart Binny,1,0,12,0,12.00,1,2,0,0,0,Rajasthan Royals
1,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-mumbai-indians-44th-match-734017,Rajat Bhatia,4,0,39,0,9.75,4,2,2,0,0,Rajasthan Royals
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-mumbai-indians-44th-match-734017,Jasprit Bumrah,3,0,23,0,7.66,6,1,1,2,0,Mumbai Indians
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-mumbai-indians-44th-match-734017,Krishmar Santokie,4,0,50,2,12.50,7,2,4,3,0,Mumbai Indians
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-mumbai-indians-44th-match-734017,Pragyan Ojha,4,0,30,2,7.50,9,2,1,0,0,Mumbai Indians
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-mumbai-indians-44th-match-734017,Kieron Pollard,1,0,11,0,11.00,3,1,1,0,0,Mumbai Indians
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-mumbai-indians-44th-match-734017,Harbhajan Singh,4,0,13,2,3.25,17,1,0,1,0,Mumbai Indians
2,pepsi-indian-premier-league-2014-695871,rajasthan-royals-vs-mumbai-indians-44th-match-734017,Shreyas Gopal,4,0,25,2,6.25,9,0,1,1,0,Mumbai Indians
