innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-delhi-daredevils-38th-match-734005,Chris Gayle, b Shukla,22,23,23,1,2,95.65,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-delhi-daredevils-38th-match-734005,Parthiv Patel,c Karthik b Mohammed Shami,29,28,57,4,0,103.57,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-delhi-daredevils-38th-match-734005,Virat Kohli (c),run out (Shukla/de Kock),10,11,13,0,0,90.90,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-delhi-daredevils-38th-match-734005,AB de Villiers, b Kaul,33,17,29,4,1,194.11,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-delhi-daredevils-38th-match-734005,Yuvraj Singh,not out ,68,29,42,1,9,234.48,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-delhi-daredevils-38th-match-734005,Sachin Rana,not out ,15,14,32,1,0,107.14,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-delhi-daredevils-38th-match-734005,Murali Vijay,lbw b Muralidaran,1,3,2,0,0,33.33,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-delhi-daredevils-38th-match-734005,Quinton de Kock, b Starc,6,6,9,1,0,100.00,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-delhi-daredevils-38th-match-734005,Mayank Agarwal,c Rana b Ahmed,31,25,37,2,2,124.00,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-delhi-daredevils-38th-match-734005,Kevin Pietersen (c),st Patel b Chahal,33,29,40,2,1,113.79,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-delhi-daredevils-38th-match-734005,Jean-Paul Duminy, b Starc,48,30,37,3,3,160.00,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-delhi-daredevils-38th-match-734005,Dinesh Karthik,c Chahal b Muralidaran,1,2,4,0,0,50.00,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-delhi-daredevils-38th-match-734005,Kedar Jadhav,run out (Patel),37,20,34,3,2,185.00,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-delhi-daredevils-38th-match-734005,Rahul Shukla,not out ,2,6,13,0,0,33.33,Delhi Daredevils
2,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-delhi-daredevils-38th-match-734005,Mohammed Shami,not out ,1,1,1,0,0,100.00,Delhi Daredevils
