innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-mumbai-indians-5th-match-729287,Michael Hussey,c Chahal b Morkel,16,15,18,2,0,106.66,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-mumbai-indians-5th-match-729287,Aditya Tare,c Maddinson b Aaron,17,18,35,2,0,94.44,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-mumbai-indians-5th-match-729287,Ambati Rayudu,c de Villiers b Starc,35,37,63,1,0,94.59,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-mumbai-indians-5th-match-729287,Rohit Sharma (c),c de Villiers b Chahal,2,5,9,0,0,40.00,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-mumbai-indians-5th-match-729287,Kieron Pollard,c Rana b Chahal,3,7,8,0,0,42.85,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-mumbai-indians-5th-match-729287,Corey Anderson,c Kohli b Starc,18,19,27,2,0,94.73,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-mumbai-indians-5th-match-729287,Harbhajan Singh, b Aaron,8,8,13,1,0,100.00,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-mumbai-indians-5th-match-729287,Zaheer Khan,c Rana b Dinda,0,2,3,0,0,0.00,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-mumbai-indians-5th-match-729287,Lasith Malinga,run out (Yuvraj Singh),2,4,9,0,0,50.00,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-mumbai-indians-5th-match-729287,Pragyan Ojha,not out ,1,5,5,0,0,20.00,Mumbai Indians
1,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-mumbai-indians-5th-match-729287,Jasprit Bumrah,not out ,1,1,2,0,0,100.00,Mumbai Indians
2,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-mumbai-indians-5th-match-729287,Nic Maddinson, b Malinga,12,8,12,2,0,150.00,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-mumbai-indians-5th-match-729287,Parthiv Patel,not out ,57,45,79,7,0,126.66,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-mumbai-indians-5th-match-729287,Virat Kohli (c),c Harbhajan Singh b Khan,0,2,2,0,0,0.00,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-mumbai-indians-5th-match-729287,Yuvraj Singh,lbw b Khan,0,2,2,0,0,0.00,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2014-695871,royal-challengers-bangalore-vs-mumbai-indians-5th-match-729287,AB de Villiers,not out ,45,48,60,3,1,93.75,Royal Challengers Bangalore
