innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kings-xi-punjab-39th-match-734007,Aaron Finch, b Shivam Sharma,20,23,40,2,0,86.95,Sunrisers Hyderabad
1,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kings-xi-punjab-39th-match-734007,Shikhar Dhawan (c),c Shivam Sharma b Dhawan,45,37,54,5,2,121.62,Sunrisers Hyderabad
1,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kings-xi-punjab-39th-match-734007,Naman Ojha,not out ,79,36,56,4,7,219.44,Sunrisers Hyderabad
1,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kings-xi-punjab-39th-match-734007,David Warner,run out (Vohra/Sandeep Sharma),44,23,31,3,3,191.30,Sunrisers Hyderabad
1,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kings-xi-punjab-39th-match-734007,Moises Henriques,c Miller b Sandeep Sharma,0,1,3,0,0,0.00,Sunrisers Hyderabad
1,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kings-xi-punjab-39th-match-734007,Irfan Pathan,c Miller b Dhawan,1,2,3,0,0,50.00,Sunrisers Hyderabad
1,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kings-xi-punjab-39th-match-734007,Karn Sharma,not out ,1,1,2,0,0,100.00,Sunrisers Hyderabad
2,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kings-xi-punjab-39th-match-734007,Virender Sehwag,c & b Kumar,4,2,2,1,0,200.00,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kings-xi-punjab-39th-match-734007,Manan Vohra,run out (Kumar),47,20,44,5,2,235.00,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kings-xi-punjab-39th-match-734007,Wriddhiman Saha,st Ojha b Sharma,54,26,31,8,2,207.69,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kings-xi-punjab-39th-match-734007,Glenn Maxwell,c Steyn b Mishra,43,22,34,2,5,195.45,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kings-xi-punjab-39th-match-734007,David Miller,not out ,24,24,52,1,0,100.00,Kings XI Punjab
2,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kings-xi-punjab-39th-match-734007,George Bailey (c),not out ,35,19,27,2,3,184.21,Kings XI Punjab
