innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kolkata-knight-riders-43rd-match-734015,Morne Morkel,4,0,39,0,9.75,8,6,0,3,0,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kolkata-knight-riders-43rd-match-734015,Umesh Yadav,4,0,26,3,6.50,11,3,0,2,0,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kolkata-knight-riders-43rd-match-734015,Sunil Narine,4,0,21,1,5.25,13,1,1,0,0,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kolkata-knight-riders-43rd-match-734015,Shakib Al Hasan,3,0,22,2,7.33,9,0,2,1,0,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kolkata-knight-riders-43rd-match-734015,Ryan ten Doeschate,1,0,8,0,8.00,3,0,1,0,0,Kolkata Knight Riders
1,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kolkata-knight-riders-43rd-match-734015,Piyush Chawla,4,0,24,1,6.00,10,3,0,0,0,Kolkata Knight Riders
2,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kolkata-knight-riders-43rd-match-734015,Bhuvneshwar Kumar,3.4,0,37,0,10.09,8,4,2,0,0,Sunrisers Hyderabad
2,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kolkata-knight-riders-43rd-match-734015,Dale Steyn,4,0,24,1,6.00,10,1,1,0,0,Sunrisers Hyderabad
2,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kolkata-knight-riders-43rd-match-734015,Karn Sharma,4,0,19,1,4.75,9,1,0,0,0,Sunrisers Hyderabad
2,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kolkata-knight-riders-43rd-match-734015,Daren Sammy,1,0,7,0,7.00,2,1,0,0,0,Sunrisers Hyderabad
2,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kolkata-knight-riders-43rd-match-734015,Amit Mishra,4,0,38,0,9.50,9,4,2,0,0,Sunrisers Hyderabad
2,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-kolkata-knight-riders-43rd-match-734015,Irfan Pathan,3,0,20,0,6.66,4,2,0,0,0,Sunrisers Hyderabad
