innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-royal-challengers-bangalore-46th-match-734021,Bhuvneshwar Kumar,4,0,27,2,6.75,10,4,0,0,0,Sunrisers Hyderabad
1,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-royal-challengers-bangalore-46th-match-734021,Dale Steyn,4,0,23,0,5.75,9,1,0,0,0,Sunrisers Hyderabad
1,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-royal-challengers-bangalore-46th-match-734021,Parvez Rasool,4,0,26,1,6.50,9,1,1,2,0,Sunrisers Hyderabad
1,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-royal-challengers-bangalore-46th-match-734021,Karn Sharma,3,0,27,1,9.00,9,2,2,0,0,Sunrisers Hyderabad
1,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-royal-challengers-bangalore-46th-match-734021,Venugopal Rao,1,0,7,0,7.00,2,1,0,0,0,Sunrisers Hyderabad
1,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-royal-challengers-bangalore-46th-match-734021,Irfan Pathan,3,0,28,1,9.33,7,4,1,0,0,Sunrisers Hyderabad
1,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-royal-challengers-bangalore-46th-match-734021,Daren Sammy,1,0,19,0,19.00,0,0,2,1,0,Sunrisers Hyderabad
2,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-royal-challengers-bangalore-46th-match-734021,Muthiah Muralidaran,4,0,26,0,6.50,13,3,1,0,0,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-royal-challengers-bangalore-46th-match-734021,Mitchell Starc,3.4,0,31,0,8.45,7,4,0,1,0,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-royal-challengers-bangalore-46th-match-734021,Varun Aaron,4,0,36,2,9.00,11,2,3,1,0,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-royal-challengers-bangalore-46th-match-734021,Abu Nechim,2.2,0,22,0,9.42,4,2,1,0,0,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-royal-challengers-bangalore-46th-match-734021,Yuzvendra Chahal,4,0,32,0,8.00,9,0,3,0,0,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2014-695871,sunrisers-hyderabad-vs-royal-challengers-bangalore-46th-match-734021,Yuvraj Singh,1.4,0,10,0,6.00,3,0,0,1,0,Royal Challengers Bangalore
