innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-delhi-daredevils-2nd-match-829707,Albie Morkel,3,0,28,0,9.33,7,5,0,1,0,Delhi Daredevils
1,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-delhi-daredevils-2nd-match-829707,Nathan Coulter-Nile,4,0,30,3,7.50,14,2,2,0,1,Delhi Daredevils
1,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-delhi-daredevils-2nd-match-829707,Domnic Muthuswami,3,0,18,1,6.00,10,3,0,0,0,Delhi Daredevils
1,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-delhi-daredevils-2nd-match-829707,Imran Tahir,4,0,27,1,6.75,8,2,0,0,0,Delhi Daredevils
1,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-delhi-daredevils-2nd-match-829707,Amit Mishra,4,0,21,1,5.25,10,0,1,0,0,Delhi Daredevils
1,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-delhi-daredevils-2nd-match-829707,Jean-Paul Duminy,2,0,15,1,7.50,4,1,0,1,0,Delhi Daredevils
2,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-delhi-daredevils-2nd-match-829707,Ashish Nehra,4,0,25,3,6.25,12,3,0,1,0,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-delhi-daredevils-2nd-match-829707,Mohit Sharma,4,0,33,1,8.25,8,3,1,1,0,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-delhi-daredevils-2nd-match-829707,Ishwar Pandey,4,0,30,1,7.50,9,4,0,0,0,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-delhi-daredevils-2nd-match-829707,Ravichandran Ashwin,4,0,25,1,6.25,8,2,0,1,0,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-delhi-daredevils-2nd-match-829707,Dwayne Bravo,4,0,36,2,9.00,6,3,1,2,0,Chennai Super Kings
