innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-rajasthan-royals-47th-match-829797,Chris Morris,4,0,19,3,4.75,12,2,0,1,0,Rajasthan Royals
1,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-rajasthan-royals-47th-match-829797,Shane Watson,2,0,19,0,9.50,5,2,1,1,0,Rajasthan Royals
1,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-rajasthan-royals-47th-match-829797,Ankit Sharma,4,0,31,1,7.75,10,3,0,1,0,Rajasthan Royals
1,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-rajasthan-royals-47th-match-829797,Pravin Tambe,3,0,24,0,8.00,8,1,2,0,0,Rajasthan Royals
1,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-rajasthan-royals-47th-match-829797,James Faulkner,4,0,40,0,10.00,7,5,1,0,0,Rajasthan Royals
1,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-rajasthan-royals-47th-match-829797,Rajat Bhatia,3,0,23,0,7.66,5,1,1,0,0,Rajasthan Royals
2,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-rajasthan-royals-47th-match-829797,Ashish Nehra,4,0,29,0,7.25,10,5,0,0,0,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-rajasthan-royals-47th-match-829797,Mohit Sharma,4,0,25,3,6.25,11,1,0,1,1,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-rajasthan-royals-47th-match-829797,Pawan Negi,4,0,35,0,8.75,5,4,0,1,0,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-rajasthan-royals-47th-match-829797,Ravindra Jadeja,4,0,11,4,2.75,13,0,0,0,0,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-rajasthan-royals-47th-match-829797,Dwayne Bravo,4,0,43,2,10.75,3,1,3,0,1,Chennai Super Kings
