innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-royal-challengers-bangalore-qualifier-2-829821,Chris Gayle,c & b Raina,41,43,66,2,3,95.34,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-royal-challengers-bangalore-qualifier-2-829821,Virat Kohli (c),c Sharma b Nehra,12,9,17,1,1,133.33,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-royal-challengers-bangalore-qualifier-2-829821,AB de Villiers,lbw b Nehra,1,3,3,0,0,33.33,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-royal-challengers-bangalore-qualifier-2-829821,Mandeep Singh,c Hussey b Ashwin,4,7,10,0,0,57.14,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-royal-challengers-bangalore-qualifier-2-829821,Dinesh Karthik,c Sharma b Nehra,28,26,45,4,0,107.69,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-royal-challengers-bangalore-qualifier-2-829821,Sarfaraz Khan,c Negi b Bravo,31,21,32,4,0,147.61,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-royal-challengers-bangalore-qualifier-2-829821,David Wiese,c Bravo b Sharma,12,7,10,0,1,171.42,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-royal-challengers-bangalore-qualifier-2-829821,Harshal Patel,run out (Dhoni),2,2,7,0,0,100.00,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-royal-challengers-bangalore-qualifier-2-829821,Mitchell Starc,not out ,1,1,2,0,0,100.00,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-royal-challengers-bangalore-qualifier-2-829821,Sreenath Aravind,not out ,0,1,1,0,0,0.00,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-royal-challengers-bangalore-qualifier-2-829821,Dwayne Smith,c Starc b Aravind,17,12,13,3,0,141.66,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-royal-challengers-bangalore-qualifier-2-829821,Michael Hussey,c Patel b Wiese,56,46,83,3,2,121.73,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-royal-challengers-bangalore-qualifier-2-829821,Faf du Plessis, b Chahal,21,22,31,2,0,95.45,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-royal-challengers-bangalore-qualifier-2-829821,Suresh Raina,c Wiese b Chahal,0,2,1,0,0,0.00,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-royal-challengers-bangalore-qualifier-2-829821,MS Dhoni (c)†,c Karthik b Patel,26,29,55,1,0,89.65,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-royal-challengers-bangalore-qualifier-2-829821,Pawan Negi,run out (Khan),12,6,13,0,1,200.00,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-royal-challengers-bangalore-qualifier-2-829821,Dwayne Bravo, b Starc,0,1,1,0,0,0.00,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-royal-challengers-bangalore-qualifier-2-829821,Ravindra Jadeja,not out ,0,0,5,0,0,-,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,chennai-super-kings-vs-royal-challengers-bangalore-qualifier-2-829821,Ravichandran Ashwin,not out ,1,1,1,0,0,100.00,Chennai Super Kings
