innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-chennai-super-kings-49th-match-829801,Shahbaz Nadeem,4,1,18,0,4.50,15,1,1,0,0,Delhi Daredevils
1,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-chennai-super-kings-49th-match-829801,Zaheer Khan,4,1,9,2,2.25,19,1,0,0,0,Delhi Daredevils
1,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-chennai-super-kings-49th-match-829801,Gurinder Sandhu,4,0,33,1,8.25,5,2,1,0,0,Delhi Daredevils
1,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-chennai-super-kings-49th-match-829801,Albie Morkel,3,0,21,2,7.00,7,3,0,0,0,Delhi Daredevils
1,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-chennai-super-kings-49th-match-829801,Jayant Yadav,2,0,8,1,4.00,7,1,0,0,0,Delhi Daredevils
1,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-chennai-super-kings-49th-match-829801,Yuvraj Singh,3,0,23,0,7.66,7,2,1,0,0,Delhi Daredevils
2,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-chennai-super-kings-49th-match-829801,Ishwar Pandey,4,1,27,2,6.75,14,4,1,0,0,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-chennai-super-kings-49th-match-829801,Mohit Sharma,2,0,17,0,8.50,4,3,0,0,0,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-chennai-super-kings-49th-match-829801,Ravichandran Ashwin,4,0,24,0,6.00,13,2,1,0,0,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-chennai-super-kings-49th-match-829801,Ravindra Jadeja,2.4,0,16,0,6.00,6,2,0,0,0,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-chennai-super-kings-49th-match-829801,Suresh Raina,1,0,8,0,8.00,1,1,0,0,0,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-chennai-super-kings-49th-match-829801,Pawan Negi,3,0,28,2,9.33,5,3,1,0,0,Chennai Super Kings
