innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-royal-challengers-bangalore-26th-match-829757,Mayank Agarwal,st Karthik b Iqbal Abdulla,27,34,66,1,1,79.41,Delhi Daredevils
1,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-royal-challengers-bangalore-26th-match-829757,Shreyas Iyer,lbw b Starc,0,1,3,0,0,0.00,Delhi Daredevils
1,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-royal-challengers-bangalore-26th-match-829757,Jean-Paul Duminy (c),c Karthik b Wiese,13,14,25,2,0,92.85,Delhi Daredevils
1,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-royal-challengers-bangalore-26th-match-829757,Yuvraj Singh,c Karthik b Aaron,2,5,5,0,0,40.00,Delhi Daredevils
1,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-royal-challengers-bangalore-26th-match-829757,Angelo Mathews,c de Villiers b Aaron,0,1,1,0,0,0.00,Delhi Daredevils
1,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-royal-challengers-bangalore-26th-match-829757,Kedar Jadhav,c Starc b Patel,33,29,55,4,0,113.79,Delhi Daredevils
1,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-royal-challengers-bangalore-26th-match-829757,Nathan Coulter-Nile,lbw b Wiese,4,8,4,1,0,50.00,Delhi Daredevils
1,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-royal-challengers-bangalore-26th-match-829757,Amit Mishra, b Starc,2,4,7,0,0,50.00,Delhi Daredevils
1,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-royal-challengers-bangalore-26th-match-829757,Shahbaz Nadeem, b Starc,2,7,7,0,0,28.57,Delhi Daredevils
1,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-royal-challengers-bangalore-26th-match-829757,Imran Tahir,not out ,3,4,9,0,0,75.00,Delhi Daredevils
1,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-royal-challengers-bangalore-26th-match-829757,Domnic Muthuswami,run out (de Villiers),1,3,3,0,0,33.33,Delhi Daredevils
2,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-royal-challengers-bangalore-26th-match-829757,Chris Gayle,not out ,62,40,47,6,4,155.00,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2015-791129,delhi-daredevils-vs-royal-challengers-bangalore-26th-match-829757,Virat Kohli (c),not out ,35,23,47,6,0,152.17,Royal Challengers Bangalore
