innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,pepsi-indian-premier-league-2015-791129,kings-xi-punjab-vs-royal-challengers-bangalore-50th-match-829803,Wriddhiman Saha,c Mandeep Singh b Wiese,31,12,-,5,1,258.33,Kings XI Punjab
1,pepsi-indian-premier-league-2015-791129,kings-xi-punjab-vs-royal-challengers-bangalore-50th-match-829803,Manan Vohra,c Mandeep Singh b Patel,11,6,-,0,1,183.33,Kings XI Punjab
1,pepsi-indian-premier-league-2015-791129,kings-xi-punjab-vs-royal-challengers-bangalore-50th-match-829803,Glenn Maxwell,c de Villiers b Patel,10,10,-,1,0,100.00,Kings XI Punjab
1,pepsi-indian-premier-league-2015-791129,kings-xi-punjab-vs-royal-challengers-bangalore-50th-match-829803,David Miller,st Karthik b Chahal,14,4,-,0,2,350.00,Kings XI Punjab
1,pepsi-indian-premier-league-2015-791129,kings-xi-punjab-vs-royal-challengers-bangalore-50th-match-829803,George Bailey (c), b Chahal,13,9,-,1,0,144.44,Kings XI Punjab
1,pepsi-indian-premier-league-2015-791129,kings-xi-punjab-vs-royal-challengers-bangalore-50th-match-829803,Axar Patel,not out ,20,15,-,1,1,133.33,Kings XI Punjab
1,pepsi-indian-premier-league-2015-791129,kings-xi-punjab-vs-royal-challengers-bangalore-50th-match-829803,Gurkeerat Singh Mann,c Karthik b Starc,2,3,-,0,0,66.66,Kings XI Punjab
1,pepsi-indian-premier-league-2015-791129,kings-xi-punjab-vs-royal-challengers-bangalore-50th-match-829803,Rishi Dhawan,not out ,1,1,-,0,0,100.00,Kings XI Punjab
2,pepsi-indian-premier-league-2015-791129,kings-xi-punjab-vs-royal-challengers-bangalore-50th-match-829803,Chris Gayle,c Saha b Sandeep Sharma,17,14,-,1,1,121.42,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2015-791129,kings-xi-punjab-vs-royal-challengers-bangalore-50th-match-829803,Virat Kohli (c), b Anureet Singh,19,9,-,2,1,211.11,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2015-791129,kings-xi-punjab-vs-royal-challengers-bangalore-50th-match-829803,AB de Villiers,c Hendricks b Patel,10,9,-,1,0,111.11,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2015-791129,kings-xi-punjab-vs-royal-challengers-bangalore-50th-match-829803,Mandeep Singh,c Miller b Patel,20,14,-,2,0,142.85,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2015-791129,kings-xi-punjab-vs-royal-challengers-bangalore-50th-match-829803,Dinesh Karthik,c Miller b Hendricks,2,4,-,0,0,50.00,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2015-791129,kings-xi-punjab-vs-royal-challengers-bangalore-50th-match-829803,Sarfaraz Khan,c Hendricks b Anureet Singh,4,6,-,0,0,66.66,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2015-791129,kings-xi-punjab-vs-royal-challengers-bangalore-50th-match-829803,David Wiese,not out ,4,5,-,0,0,80.00,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2015-791129,kings-xi-punjab-vs-royal-challengers-bangalore-50th-match-829803,Harshal Patel,not out ,0,0,-,0,0,-,Royal Challengers Bangalore
