innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,pepsi-indian-premier-league-2015-791129,kolkata-knight-riders-vs-kings-xi-punjab-44th-match-829791,Murali Vijay, b Narine,28,21,23,4,1,133.33,Kings XI Punjab
1,pepsi-indian-premier-league-2015-791129,kolkata-knight-riders-vs-kings-xi-punjab-44th-match-829791,Manan Vohra,c & b Narine,39,34,48,1,3,114.70,Kings XI Punjab
1,pepsi-indian-premier-league-2015-791129,kolkata-knight-riders-vs-kings-xi-punjab-44th-match-829791,Wriddhiman Saha, b Narine,33,25,57,0,2,132.00,Kings XI Punjab
1,pepsi-indian-premier-league-2015-791129,kolkata-knight-riders-vs-kings-xi-punjab-44th-match-829791,Glenn Maxwell,c Botha b Narine,43,22,30,4,3,195.45,Kings XI Punjab
1,pepsi-indian-premier-league-2015-791129,kolkata-knight-riders-vs-kings-xi-punjab-44th-match-829791,David Miller,not out ,27,11,18,2,2,245.45,Kings XI Punjab
1,pepsi-indian-premier-league-2015-791129,kolkata-knight-riders-vs-kings-xi-punjab-44th-match-829791,Gurkeerat Singh Mann,c & b Russell,4,7,13,0,0,57.14,Kings XI Punjab
1,pepsi-indian-premier-league-2015-791129,kolkata-knight-riders-vs-kings-xi-punjab-44th-match-829791,George Bailey (c),not out ,0,0,2,0,0,-,Kings XI Punjab
2,pepsi-indian-premier-league-2015-791129,kolkata-knight-riders-vs-kings-xi-punjab-44th-match-829791,Robin Uthappa,c Patel b Anureet Singh,17,11,16,3,0,154.54,Kolkata Knight Riders
2,pepsi-indian-premier-league-2015-791129,kolkata-knight-riders-vs-kings-xi-punjab-44th-match-829791,Gautam Gambhir (c),c Vijay b Gurkeerat Singh,24,23,39,4,0,104.34,Kolkata Knight Riders
2,pepsi-indian-premier-league-2015-791129,kolkata-knight-riders-vs-kings-xi-punjab-44th-match-829791,Manish Pandey,c Patel b Maxwell,22,15,16,4,0,146.66,Kolkata Knight Riders
2,pepsi-indian-premier-league-2015-791129,kolkata-knight-riders-vs-kings-xi-punjab-44th-match-829791,Suryakumar Yadav, b Gurkeerat Singh,9,9,16,1,0,100.00,Kolkata Knight Riders
2,pepsi-indian-premier-league-2015-791129,kolkata-knight-riders-vs-kings-xi-punjab-44th-match-829791,Yusuf Pathan,c Saha b Hendricks,29,19,29,1,3,152.63,Kolkata Knight Riders
2,pepsi-indian-premier-league-2015-791129,kolkata-knight-riders-vs-kings-xi-punjab-44th-match-829791,Andre Russell,c Saha b Patel,51,21,30,5,4,242.85,Kolkata Knight Riders
2,pepsi-indian-premier-league-2015-791129,kolkata-knight-riders-vs-kings-xi-punjab-44th-match-829791,Johan Botha,run out (Patel),2,4,15,0,0,50.00,Kolkata Knight Riders
2,pepsi-indian-premier-league-2015-791129,kolkata-knight-riders-vs-kings-xi-punjab-44th-match-829791,Piyush Chawla,c Saha b Anureet Singh,18,11,18,2,1,163.63,Kolkata Knight Riders
2,pepsi-indian-premier-league-2015-791129,kolkata-knight-riders-vs-kings-xi-punjab-44th-match-829791,Brad Hogg,run out (Anureet Singh),5,5,11,0,0,100.00,Kolkata Knight Riders
2,pepsi-indian-premier-league-2015-791129,kolkata-knight-riders-vs-kings-xi-punjab-44th-match-829791,Umesh Yadav,not out ,0,0,4,0,0,-,Kolkata Knight Riders
2,pepsi-indian-premier-league-2015-791129,kolkata-knight-riders-vs-kings-xi-punjab-44th-match-829791,Sunil Narine,not out ,0,1,1,0,0,0.00,Kolkata Knight Riders
