innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-chennai-super-kings-12th-match-829729,Lendl Simmons,c du Plessis b Pandey,5,13,18,1,0,38.46,Mumbai Indians
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-chennai-super-kings-12th-match-829729,Parthiv Patel,lbw b Nehra,0,1,2,0,0,0.00,Mumbai Indians
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-chennai-super-kings-12th-match-829729,Corey Anderson,c du Plessis b Nehra,4,7,11,1,0,57.14,Mumbai Indians
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-chennai-super-kings-12th-match-829729,Rohit Sharma (c),c Bravo b Nehra,50,31,60,5,1,161.29,Mumbai Indians
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-chennai-super-kings-12th-match-829729,Harbhajan Singh,c Jadeja b Sharma,24,21,29,2,1,114.28,Mumbai Indians
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-chennai-super-kings-12th-match-829729,Kieron Pollard,c Smith b Bravo,64,30,54,4,5,213.33,Mumbai Indians
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-chennai-super-kings-12th-match-829729,Ambati Rayudu,c Jadeja b Bravo,29,16,26,1,3,181.25,Mumbai Indians
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-chennai-super-kings-12th-match-829729,Jagadeesha Suchith,not out ,0,0,1,0,0,-,Mumbai Indians
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-chennai-super-kings-12th-match-829729,Vinay Kumar,not out ,0,1,1,0,0,0.00,Mumbai Indians
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-chennai-super-kings-12th-match-829729,Dwayne Smith,c Sharma b Harbhajan Singh,62,30,45,8,4,206.66,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-chennai-super-kings-12th-match-829729,Brendon McCullum,c Vinay Kumar b Harbhajan Singh,46,20,42,6,2,230.00,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-chennai-super-kings-12th-match-829729,Suresh Raina,not out ,43,29,51,4,2,148.27,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-chennai-super-kings-12th-match-829729,Faf du Plessis, b Malinga,11,13,20,2,0,84.61,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-chennai-super-kings-12th-match-829729,MS Dhoni (c)†,c & b Pollard,3,6,14,0,0,50.00,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-chennai-super-kings-12th-match-829729,Dwayne Bravo,not out ,13,5,12,1,1,260.00,Chennai Super Kings
