innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-kolkata-knight-riders-51st-match-829805,Umesh Yadav,3,0,37,0,12.33,3,6,0,0,1,Kolkata Knight Riders
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-kolkata-knight-riders-51st-match-829805,Morne Morkel,4,0,27,1,6.75,11,1,1,2,1,Kolkata Knight Riders
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-kolkata-knight-riders-51st-match-829805,Shakib Al Hasan,4,0,22,2,5.50,12,3,0,1,0,Kolkata Knight Riders
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-kolkata-knight-riders-51st-match-829805,Piyush Chawla,1,0,9,0,9.00,3,2,0,0,0,Kolkata Knight Riders
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-kolkata-knight-riders-51st-match-829805,Sunil Narine,4,0,38,1,9.50,6,2,2,3,0,Kolkata Knight Riders
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-kolkata-knight-riders-51st-match-829805,Andre Russell,4,0,37,0,9.25,7,4,1,0,1,Kolkata Knight Riders
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-kolkata-knight-riders-51st-match-829805,Lasith Malinga,4,0,31,1,7.75,10,3,1,0,0,Mumbai Indians
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-kolkata-knight-riders-51st-match-829805,Mitchell McClenaghan,4,0,31,1,7.75,8,4,0,3,0,Mumbai Indians
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-kolkata-knight-riders-51st-match-829805,Vinay Kumar,4,0,33,1,8.25,8,5,0,0,0,Mumbai Indians
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-kolkata-knight-riders-51st-match-829805,Harbhajan Singh,4,0,31,1,7.75,10,3,1,3,0,Mumbai Indians
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-kolkata-knight-riders-51st-match-829805,Jagadeesha Suchith,2,0,23,1,11.50,2,2,1,0,0,Mumbai Indians
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-kolkata-knight-riders-51st-match-829805,Hardik Pandya,1,0,10,0,10.00,1,1,0,0,0,Mumbai Indians
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-kolkata-knight-riders-51st-match-829805,Kieron Pollard,1,0,6,1,6.00,4,1,0,1,0,Mumbai Indians
