innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-rajasthan-royals-32nd-match-829769,Tim Southee,4,0,36,1,9.00,10,5,1,0,0,Rajasthan Royals
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-rajasthan-royals-32nd-match-829769,Dhawal Kulkarni,3,0,26,2,8.66,9,3,1,1,0,Rajasthan Royals
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-rajasthan-royals-32nd-match-829769,Rusty Theron,4,0,40,1,10.00,5,4,1,2,0,Rajasthan Royals
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-rajasthan-royals-32nd-match-829769,Shane Watson,3,0,36,0,12.00,5,3,2,0,1,Rajasthan Royals
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-rajasthan-royals-32nd-match-829769,Stuart Binny,2,0,17,0,8.50,3,1,1,0,0,Rajasthan Royals
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-rajasthan-royals-32nd-match-829769,Ankit Sharma,4,0,29,1,7.25,5,2,0,1,0,Rajasthan Royals
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-rajasthan-royals-32nd-match-829769,Mitchell McClenaghan,4,0,31,3,7.75,10,1,2,4,0,Mumbai Indians
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-rajasthan-royals-32nd-match-829769,Lasith Malinga,4,0,34,1,8.50,4,2,1,0,0,Mumbai Indians
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-rajasthan-royals-32nd-match-829769,Vinay Kumar,4,0,39,1,9.75,6,6,0,0,1,Mumbai Indians
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-rajasthan-royals-32nd-match-829769,Jagadeesha Suchith,4,0,39,1,9.75,8,2,2,2,0,Mumbai Indians
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-rajasthan-royals-32nd-match-829769,Harbhajan Singh,4,0,34,0,8.50,6,4,0,1,0,Mumbai Indians
