innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-royal-challengers-bangalore-46th-match-829795,Chris Gayle,c Simmons b Malinga,13,12,16,1,1,108.33,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-royal-challengers-bangalore-46th-match-829795,Virat Kohli (c),not out ,82,50,99,6,4,164.00,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-royal-challengers-bangalore-46th-match-829795,AB de Villiers,not out ,133,59,82,19,4,225.42,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-royal-challengers-bangalore-46th-match-829795,Parthiv Patel,run out (Kohli/Karthik),19,11,19,3,0,172.72,Mumbai Indians
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-royal-challengers-bangalore-46th-match-829795,Lendl Simmons,not out ,68,53,97,5,3,128.30,Mumbai Indians
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-royal-challengers-bangalore-46th-match-829795,Rohit Sharma (c),c Mandeep Singh b Patel,15,13,20,1,1,115.38,Mumbai Indians
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-royal-challengers-bangalore-46th-match-829795,Kieron Pollard,c Starc b Aravind,49,24,27,6,2,204.16,Mumbai Indians
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-royal-challengers-bangalore-46th-match-829795,Hardik Pandya,st Karthik b Chahal,8,4,6,0,1,200.00,Mumbai Indians
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-royal-challengers-bangalore-46th-match-829795,Ambati Rayudu,c de Villiers b Patel,14,4,9,0,2,350.00,Mumbai Indians
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-royal-challengers-bangalore-46th-match-829795,Harbhajan Singh,c Kohli b Starc,3,3,4,0,0,100.00,Mumbai Indians
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-royal-challengers-bangalore-46th-match-829795,Jagadeesha Suchith,c Karthik b Chahal,4,4,4,0,0,100.00,Mumbai Indians
2,pepsi-indian-premier-league-2015-791129,mumbai-indians-vs-royal-challengers-bangalore-46th-match-829795,Mitchell McClenaghan,not out ,12,4,1,0,2,300.00,Mumbai Indians
