innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,pepsi-indian-premier-league-2015-791129,rajasthan-royals-vs-mumbai-indians-9th-match-829721,Aaron Finch,retired hurt ,10,14,-,2,0,71.42,Mumbai Indians
1,pepsi-indian-premier-league-2015-791129,rajasthan-royals-vs-mumbai-indians-9th-match-829721,Parthiv Patel,c Morris b Kulkarni,16,11,-,2,0,145.45,Mumbai Indians
1,pepsi-indian-premier-league-2015-791129,rajasthan-royals-vs-mumbai-indians-9th-match-829721,Unmukt Chand, b Tambe,12,17,-,1,0,70.58,Mumbai Indians
1,pepsi-indian-premier-league-2015-791129,rajasthan-royals-vs-mumbai-indians-9th-match-829721,Rohit Sharma (c),c Smith b Binny,0,5,-,0,0,0.00,Mumbai Indians
1,pepsi-indian-premier-league-2015-791129,rajasthan-royals-vs-mumbai-indians-9th-match-829721,Corey Anderson, b Morris,50,38,-,5,3,131.57,Mumbai Indians
1,pepsi-indian-premier-league-2015-791129,rajasthan-royals-vs-mumbai-indians-9th-match-829721,Kieron Pollard,c Nair b Southee,70,34,-,7,5,205.88,Mumbai Indians
1,pepsi-indian-premier-league-2015-791129,rajasthan-royals-vs-mumbai-indians-9th-match-829721,Jagadeesha Suchith,not out ,0,1,-,0,0,0.00,Mumbai Indians
1,pepsi-indian-premier-league-2015-791129,rajasthan-royals-vs-mumbai-indians-9th-match-829721,Shreyas Gopal,not out ,1,1,-,0,0,100.00,Mumbai Indians
2,pepsi-indian-premier-league-2015-791129,rajasthan-royals-vs-mumbai-indians-9th-match-829721,Ajinkya Rahane,c Anderson b Gopal,46,39,-,4,0,117.94,Rajasthan Royals
2,pepsi-indian-premier-league-2015-791129,rajasthan-royals-vs-mumbai-indians-9th-match-829721,Sanju Samson,c Sharma b Vinay Kumar,17,16,-,3,0,106.25,Rajasthan Royals
2,pepsi-indian-premier-league-2015-791129,rajasthan-royals-vs-mumbai-indians-9th-match-829721,Steven Smith (c),not out ,79,53,-,8,1,149.05,Rajasthan Royals
2,pepsi-indian-premier-league-2015-791129,rajasthan-royals-vs-mumbai-indians-9th-match-829721,Deepak Hooda, b Malinga,13,4,-,0,2,325.00,Rajasthan Royals
2,pepsi-indian-premier-league-2015-791129,rajasthan-royals-vs-mumbai-indians-9th-match-829721,James Faulkner,not out ,6,6,-,0,0,100.00,Rajasthan Royals
