innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-chennai-super-kings-20th-match-829745,Mitchell Starc,4,0,24,1,6.00,14,4,0,0,0,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-chennai-super-kings-20th-match-829745,Yuzvendra Chahal,4,0,40,3,10.00,11,2,4,0,0,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-chennai-super-kings-20th-match-829745,Harshal Patel,4,0,28,1,7.00,12,5,0,0,0,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-chennai-super-kings-20th-match-829745,David Wiese,4,0,46,1,11.50,8,3,4,1,0,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-chennai-super-kings-20th-match-829745,Iqbal Abdulla,4,0,36,2,9.00,10,3,2,2,0,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-chennai-super-kings-20th-match-829745,Ishwar Pandey,4,0,21,1,5.25,14,2,1,0,0,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-chennai-super-kings-20th-match-829745,Ashish Nehra,4,0,10,4,2.50,15,0,0,0,0,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-chennai-super-kings-20th-match-829745,Mohit Sharma,4,0,39,0,9.75,8,3,2,0,0,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-chennai-super-kings-20th-match-829745,Ravichandran Ashwin,1,0,17,0,17.00,1,2,1,1,0,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-chennai-super-kings-20th-match-829745,Ravindra Jadeja,4,0,37,1,9.25,7,1,3,0,0,Chennai Super Kings
2,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-chennai-super-kings-20th-match-829745,Dwayne Bravo,3,0,25,1,8.33,6,4,0,0,0,Chennai Super Kings
