innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-sunrisers-hyderabad-8th-match-829719,Chris Gayle,c Ashish Reddy b P Kumar,21,16,23,3,1,131.25,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-sunrisers-hyderabad-8th-match-829719,Virat Kohli (c), b Bopara,41,37,52,4,2,110.81,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-sunrisers-hyderabad-8th-match-829719,Dinesh Karthik,c Williamson b Sharma,9,11,21,1,0,81.81,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-sunrisers-hyderabad-8th-match-829719,AB de Villiers,c Dhawan b Boult,46,28,40,5,2,164.28,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-sunrisers-hyderabad-8th-match-829719,Mandeep Singh,c Warner b Bopara,0,1,1,0,0,0.00,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-sunrisers-hyderabad-8th-match-829719,Daren Sammy, b Ashish Reddy,6,9,14,0,0,66.66,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-sunrisers-hyderabad-8th-match-829719,Sean Abbott,c Sharma b Boult,14,9,17,1,1,155.55,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-sunrisers-hyderabad-8th-match-829719,Harshal Patel,c Williamson b Boult,2,2,2,0,0,100.00,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-sunrisers-hyderabad-8th-match-829719,Abu Nechim, b B Kumar,4,2,10,1,0,200.00,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-sunrisers-hyderabad-8th-match-829719,Varun Aaron, b B Kumar,6,3,3,0,1,200.00,Royal Challengers Bangalore
1,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-sunrisers-hyderabad-8th-match-829719,Yuzvendra Chahal,not out ,1,1,3,0,0,100.00,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-sunrisers-hyderabad-8th-match-829719,David Warner (c),lbw b Chahal,57,27,40,6,4,211.11,Sunrisers Hyderabad
2,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-sunrisers-hyderabad-8th-match-829719,Shikhar Dhawan,not out ,50,42,96,4,2,119.04,Sunrisers Hyderabad
2,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-sunrisers-hyderabad-8th-match-829719,Kane Williamson,st Karthik b Chahal,5,9,10,0,0,55.55,Sunrisers Hyderabad
2,pepsi-indian-premier-league-2015-791129,royal-challengers-bangalore-vs-sunrisers-hyderabad-8th-match-829719,KL Rahul,not out ,44,28,44,4,1,157.14,Sunrisers Hyderabad
