innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-829799,Sandeep Sharma,4,0,33,0,8.25,9,3,1,0,0,Kings XI Punjab
1,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-829799,Anureet Singh,4,0,37,0,9.25,10,4,2,0,0,Kings XI Punjab
1,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-829799,Beuran Hendricks,4,0,40,2,10.00,7,4,1,2,1,Kings XI Punjab
1,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-829799,Gurkeerat Singh Mann,3,0,27,1,9.00,6,3,1,0,0,Kings XI Punjab
1,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-829799,Glenn Maxwell,3,0,28,1,9.33,7,2,2,1,0,Kings XI Punjab
1,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-829799,Axar Patel,2,0,19,0,9.50,3,0,2,0,0,Kings XI Punjab
2,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-829799,Bhuvneshwar Kumar,4,0,34,1,8.50,10,2,2,0,0,Sunrisers Hyderabad
2,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-829799,Trent Boult,4,0,45,1,11.25,8,4,3,1,0,Sunrisers Hyderabad
2,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-829799,Ishant Sharma,4,0,49,0,12.25,8,4,4,1,0,Sunrisers Hyderabad
2,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-829799,Bipul Sharma,2,0,13,2,6.50,7,1,1,0,0,Sunrisers Hyderabad
2,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-829799,Moises Henriques,4,0,16,3,4.00,10,0,0,2,0,Sunrisers Hyderabad
2,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-kings-xi-punjab-48th-match-829799,Karn Sharma,2,0,20,0,10.00,3,0,2,0,0,Sunrisers Hyderabad
