innings,series,game,Player,Out Type,Runs,B,M,4s,6s,SR,team
1,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-royal-challengers-bangalore-52nd-match-829807,David Warner (c),not out ,52,32,-,5,1,162.50,Sunrisers Hyderabad
1,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-royal-challengers-bangalore-52nd-match-829807,Shikhar Dhawan,c Dinda b Wiese,8,7,-,1,0,114.28,Sunrisers Hyderabad
1,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-royal-challengers-bangalore-52nd-match-829807,Moises Henriques,c Karthik b Wiese,57,22,-,5,4,259.09,Sunrisers Hyderabad
1,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-royal-challengers-bangalore-52nd-match-829807,Eoin Morgan,c Mandeep Singh b Starc,11,7,-,0,1,157.14,Sunrisers Hyderabad
2,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-royal-challengers-bangalore-52nd-match-829807,Chris Gayle,c Dhawan b Henriques,35,10,-,4,3,350.00,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-royal-challengers-bangalore-52nd-match-829807,Virat Kohli (c),not out ,44,19,-,3,3,231.57,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-royal-challengers-bangalore-52nd-match-829807,AB de Villiers,c Steyn b Henriques,0,1,-,0,0,0.00,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-royal-challengers-bangalore-52nd-match-829807,Mandeep Singh,c Morgan b P Kumar,1,3,-,0,0,33.33,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-royal-challengers-bangalore-52nd-match-829807,Dinesh Karthik,run out (B Kumar),2,2,-,0,0,100.00,Royal Challengers Bangalore
2,pepsi-indian-premier-league-2015-791129,sunrisers-hyderabad-vs-royal-challengers-bangalore-52nd-match-829807,Sarfaraz Khan,not out ,0,0,-,0,0,-,Royal Challengers Bangalore
